combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
200	80	160	0.1	0.025	0.7554592720970538	0.5710025235145676	0.7426015141087405	4362	115.71641448876662	141.41678129298487
201	5	10	0.2	0.025	0.7123050259965338	0.3669099756690998	0.5600973236009732	4453	165.27442173815405	145.80395239164608
202	10	10	0.2	0.025	0.6842287694974003	0.40070921985815605	0.5932117527862208	4134	154.61804547653605	144.89259796806968
203	20	10	0.2	0.025	0.6239168110918544	0.49666666666666665	0.6738888888888889	3604	140.70283018867926	145.68784683684794
204	40	10	0.2	0.025	0.5076256499133449	0.41550017070672585	0.6271765107545237	2932	129.11084583901774	144.77694406548432
205	80	10	0.2	0.025	0.3655112651646447	0.3812233285917496	0.6036036036036037	2111	113.19848413074372	142.23922311700616
206	5	20	0.2	0.025	0.764471403812825	0.38245295851280886	0.5808206755837678	4757	164.1986546142527	145.93861677527855
207	10	20	0.2	0.025	0.7409012131715771	0.41426900584795323	0.6128654970760234	4462	153.7265800089646	144.75011205737337
208	20	20	0.2	0.025	0.6842287694974003	0.5111448834853091	0.6922492401215805	3951	139.98481397114654	145.10250569476082
209	40	20	0.2	0.025	0.5590987868284228	0.42343459392436456	0.6370117792932424	3228	127.14560099132589	144.86617100371748
210	80	20	0.2	0.025	0.4027729636048527	0.3855421686746988	0.6092943201376936	2325	111.63655913978495	142.15010752688173
211	5	40	0.2	0.025	0.823050259965338	0.41524531480311644	0.6114971572962729	5103	164.10915147952184	147.30746619635508
212	10	40	0.2	0.025	0.8055459272097054	0.44513769363166955	0.6398450946643718	4842	154.15985130111525	145.5266418835192
213	20	40	0.2	0.025	0.7590987868284229	0.5378995433789955	0.7127853881278539	4380	139.4906392694064	145.13881278538813
214	40	40	0.2	0.025	0.6320623916811092	0.4387167534960241	0.6482040032903756	3647	126.21250342747463	143.86344941047437
215	80	40	0.2	0.025	0.4611785095320624	0.3904547162720782	0.6148064637354378	2661	111.6880871852687	140.62269823374672
216	5	80	0.2	0.025	0.8993067590987869	0.4781268067064945	0.6625554056658316	5537	163.5880440671844	149.23135271807837
217	10	80	0.2	0.025	0.8863084922010399	0.5068439577630035	0.6896754008603833	5305	153.59302544769085	147.54137606032046
218	20	80	0.2	0.025	0.848526863084922	0.5982434640522876	0.7600081699346405	4897	139.5619767204411	146.86869511946088
219	40	80	0.2	0.025	0.7377816291161179	0.48414376321353064	0.6845196147521729	4257	125.03711533944092	143.7937514681701
220	80	80	0.2	0.025	0.5549393414211439	0.4194253591505309	0.6455340412242349	3202	109.10743285446596	140.67114303560274
221	5	160	0.2	0.025	0.9415944540727903	0.6243327811522179	0.7623780600036812	5767	167.97624414773713	151.68891971562337
222	10	160	0.2	0.025	0.9337954939341421	0.6601707498144024	0.7915738678544915	5572	158.8813711414214	149.9204953338119
223	20	160	0.2	0.025	0.9166377816291161	0.7560975609756098	0.8578181130648516	5291	145.07767907767908	148.38140238140238
224	40	160	0.2	0.025	0.8374350086655112	0.6103062913907285	0.7661423841059603	4833	127.88330229671011	144.41320091040762
225	80	160	0.2	0.025	0.6847487001733102	0.5013920526449	0.7021007339913946	3952	109.73557692307692	138.22975708502025
226	5	10	0.35	0.025	0.18232235701906413	0.4011406844106464	0.5342205323193916	1231	218.80991064175467	174.0731112916328
227	10	10	0.35	0.025	0.168630849220104	0.4573484069886948	0.5878725590955807	1051	216.75642245480495	176.1474785918173
228	20	10	0.35	0.025	0.1464471403812825	0.5964497041420118	0.7112426035502959	845	206.09585798816568	185.45798816568046
229	40	10	0.35	0.025	0.11993067590987869	0.5072254335260116	0.6560693641618497	692	188.73121387283237	181.32947976878611
230	80	10	0.35	0.025	0.08665511265164645	0.472	0.634	500	163.01	172.428
231	5	20	0.35	0.025	0.20433275563258232	0.39609838846480067	0.539440203562341	1370	213.35839416058394	169.42919708029197
232	10	20	0.35	0.025	0.18769497400346621	0.4533702677746999	0.590027700831025	1168	209.61900684931507	172.10873287671234
233	20	20	0.35	0.025	0.1655112651646447	0.5916230366492147	0.7099476439790576	955	197.52565445026178	176.565445026178
