technology	gene_old	gene_new	n_reads	pct_of_reads	into_orf_body
short read	YKR027W	YKR028W	44	0.000147	False
short read	YJL051W	YJL050W	44	0.000147	True
short read	YEL026W	YEL025C	43	0.000143	False
short read	YJR088C	YJR089W	43	0.000143	False
short read	YJR139C	YJR140C	43	0.000143	True
short read	YBR141C	YBR140C	43	0.000143	True
short read	YKR103W	YKR104W	42	0.00014	True
short read	YLR409C	YLR408C	40	0.000133	False
short read	YMR168C	YMR167W	40	0.000133	False
short read	YNR069C	YNR068C	40	0.000133	True
short read	YMR078C	YMR077C	40	0.000133	False
short read	YOR065W	YOR064C	39	0.00013	False
short read	YHR212W-A	YHR212C	39	0.00013	False
short read	YGL006W-A	YGL006W	37	0.000123	True
short read	YDR358W	YDR359C	37	0.000123	False
short read	YLR093C	YLR092W	37	0.000123	False
short read	YJL014W	YJL013C	37	0.000123	False
short read	YKL051W	YKL052C	36	0.00012	False
short read	YOR072W	YOR071C	36	0.00012	False
short read	YNR030W	YNR031C	36	0.00012	False
short read	YMR251W-A	YMR253C	35	0.000117	False
short read	YKR043C	YKR044W	34	0.000113	False
short read	YPR094W	YPR095C	34	0.000113	False
short read	YDR368W	YDR369C	34	0.000113	False
short read	YML127W	YML126C	33	0.00011	False
short read	YLR431C	YLR430W	32	0.000107	False
short read	YOR209C	YOR208W	32	0.000107	False
short read	YDL225W	YDL224C	31	0.000103	False
short read	YDR514C	YDR512C	31	0.000103	False
short read	YIL098C	YIL099W	29	9.7e-05	False
short read	YBR244W	YBR245C	28	9.3e-05	False
short read	YDR104C	YDR103W	28	9.3e-05	False
short read	YBR227C	YBR228W	28	9.3e-05	False
short read	YMR148W	YMR149W	28	9.3e-05	True
short read	YKL106W	YKL105C	27	9e-05	False
short read	YDR496C	YDR495C	27	9e-05	False
short read	YOR170W	YOR169C	26	8.7e-05	False
short read	YLR231C	YLR233C	26	8.7e-05	False
short read	YLL014W	YLL013C	25	8.3e-05	False
short read	YIL014W	YIL013C	25	8.3e-05	False
short read	YBL100W-C	YBL101C	24	8e-05	False
short read	YER185W	YER184C	24	8e-05	False
short read	YDL035C	YDL036C	22	7.3e-05	False
short read	YOL008W	YOL009C	21	7e-05	False
short read	YBR019C	YBR020W	18	6e-05	False
short read	YLR262C-A	YLR263W	18	6e-05	False
short read	YML050W	YML049C	18	6e-05	False
short read	YDR320C	YDR319C	17	5.7e-05	False
short read	YHR159W	YHR158C	17	5.7e-05	False
short read	YMR034C	YMR035W	17	5.7e-05	False
short read	YHR173C	YHR172W	17	5.7e-05	False
short read	YMR123W	YMR124W	16	5.3e-05	False
short read	YKL122C	YKL124W	16	5.3e-05	False
short read	YGL151W	YGL150C	15	5e-05	False
short read	YNL204C	YNL203C	15	5e-05	True
short read	YNR057C	YNR058W	14	4.7e-05	False
short read	YER048C	YER047C	14	4.7e-05	False
short read	YMR013W-A	YMR014W	14	4.7e-05	False
short read	YKL169C	YKL171W	13	4.3e-05	False
short read	YER119C-A	YER119C	13	4.3e-05	True
short read	YOR327C	YOR326W	12	4e-05	False
short read	YBR185C	YBR184W	12	4e-05	False
short read	YER174C	YER173W	12	4e-05	False
short read	YPL263C	YPL264C	12	4e-05	False
short read	YNL204C	YNL202W	12	4e-05	False
short read	YPL143W	YPL141C	11	3.7e-05	False
short read	YLR162W	YLR162W-A	11	3.7e-05	True
short read	YBR271W	YBR270C	11	3.7e-05	False
short read	YDL232W	YDL231C	11	3.7e-05	False
short read	YLR090W	YLR091W	11	3.7e-05	False
short read	YDL086W	YDL087C	10	3.3e-05	False
short read	YNL169C	YNL172W	10	3.3e-05	False
short read	YNL248C	YNL249C	10	3.3e-05	False
short read	YER032W	YER033C	10	3.3e-05	False
short read	YHR036W	YHR035W	9	3e-05	True
short read	YHR156C	YHR155W	9	3e-05	False
